id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
15118,M'TKAOUAK,1,05130,,,AZIL ABDELKADER (METKOUAK),عزيل عبد القادر,05,BATNA,باتنة,35.43213,5.1300283
1829,TAMACHIT,1,05131,,,BATNA,باتنة,05,BATNA,باتنة,35.5320514,6.1722919
10618,EL AURES,1,05143,,,BATNA,باتنة,05,BATNA,باتنة,35.5504519,6.1281725
10619,BOUZOURANE,1,05144,,,BATNA,باتنة,05,BATNA,باتنة,35.5619083,6.1962333
10616,BOUAKAL,1,05148,,,BATNA,باتنة,05,BATNA,باتنة,35.5441774,6.1736888
15232,CHEMORA EL MOUSTAKBEL,1,05149,,,CHEMORA,شمرة,05,BATNA,باتنة,35.6637733,6.6432467
15110,BARIKA CITE 300 LOGTS,1,05150,,,BARIKA,بريكة,05,BATNA,باتنة,35.3792017,5.38377
15111,EL MADHER 2,1,05152,,,EL MADHER,المعذر,05,BATNA,باتنة,35.6330683,6.372
15112,BATNA CITE 1200 LOGEMENTS,1,05153,,,BATNA,باتنة,05,BATNA,باتنة,35.5322538,6.1645159
13283,BEJAIA RP LS 1,1,06000,,,BEJAIA,بجاية,06,BEJAIA,بجاية,36.7525841,5.0831623
13284,BEJAIA RP LS 2,1,06000,,,BEJAIA,بجاية,06,BEJAIA,بجاية,36.752584,5.0831676
1108,UNIVERSITE ABOUDAOU,1,06000,,,BEJAIA,بجاية,06,BEJAIA,بجاية,36.7048815,5.0558657
2275,UNIVERSITE TARGA OUZMOUR,1,06000,,,BEJAIA,بجاية,06,BEJAIA,بجاية,36.7520586,5.0367686
1413,AKBOU,1,06001,,,AKBOU,أقبو,06,BEJAIA,بجاية,36.4632825,4.5362938
1580,BEJAIA LIBERTE,1,06002,,,BEJAIA,بجاية,06,BEJAIA,بجاية,36.7529266,5.0727059
1581,LIBERTE,1,06002,,,BEJAIA,بجاية,06,BEJAIA,بجاية,36.7532179,5.0723648
1724,EL KSEUR,1,06003,,,EL KSEUR,القصر,06,BEJAIA,بجاية,36.6817,4.8518133
